date,calsim_node,value,location,units,calsim_run
1932-03-31,C407,1201.035901960724,Delta Outflow,cfs,2008 & 2009 BiOp
1932-04-30,C407,3213.229976564935,Delta Outflow,cfs,2008 & 2009 BiOp
1932-05-31,C407,6344.291364618792,Delta Outflow,cfs,2008 & 2009 BiOp
1932-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1932-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1932-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1932-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1932-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1932-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1932-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-01-31,C407,6848.1580146960805,Delta Outflow,cfs,2008 & 2009 BiOp
1933-02-28,C407,2777.8856018132865,Delta Outflow,cfs,2008 & 2009 BiOp
1933-03-31,C407,6440.82575260868,Delta Outflow,cfs,2008 & 2009 BiOp
1933-04-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-05-31,C407,346.57887816754373,Delta Outflow,cfs,2008 & 2009 BiOp
1933-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1933-11-30,C407,797.60227106932075,Delta Outflow,cfs,2008 & 2009 BiOp
1933-12-31,C407,5894.491043211892,Delta Outflow,cfs,2008 & 2009 BiOp
1934-01-31,C407,8517.627837378102,Delta Outflow,cfs,2008 & 2009 BiOp
1934-02-28,C407,2965.922509097769,Delta Outflow,cfs,2008 & 2009 BiOp
1934-03-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-04-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-05-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-08-31,C407,144.6445198030142,Delta Outflow,cfs,2008 & 2009 BiOp
1934-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1934-11-30,C407,2814.4786511383872,Delta Outflow,cfs,2008 & 2009 BiOp
1934-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-01-31,C407,24937.46572639403,Delta Outflow,cfs,2008 & 2009 BiOp
1935-02-28,C407,6952.899986500635,Delta Outflow,cfs,2008 & 2009 BiOp
1935-03-31,C407,16469.777866914803,Delta Outflow,cfs,2008 & 2009 BiOp
1935-04-30,C407,50207.89221251617,Delta Outflow,cfs,2008 & 2009 BiOp
1935-05-31,C407,5750.575651745596,Delta Outflow,cfs,2008 & 2009 BiOp
1935-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1935-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1936-01-31,C407,35932.31376079925,Delta Outflow,cfs,2008 & 2009 BiOp
1936-02-29,C407,68515.05587499999,Delta Outflow,cfs,2008 & 2009 BiOp
1936-03-31,C407,13334.977508634269,Delta Outflow,cfs,2008 & 2009 BiOp
1936-04-30,C407,24328.419618125627,Delta Outflow,cfs,2008 & 2009 BiOp
1936-05-31,C407,5709.650367387474,Delta Outflow,cfs,2008 & 2009 BiOp
1936-06-30,C407,821.7429421227571,Delta Outflow,cfs,2008 & 2009 BiOp
1936-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1936-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1936-09-30,C407,1200.9761845248604,Delta Outflow,cfs,2008 & 2009 BiOp
1936-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1936-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1936-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1937-01-31,C407,6315.504828955074,Delta Outflow,cfs,2008 & 2009 BiOp
1937-02-28,C407,36041.37825592934,Delta Outflow,cfs,2008 & 2009 BiOp
1937-03-31,C407,36964.265146021484,Delta Outflow,cfs,2008 & 2009 BiOp
1937-04-30,C407,24474.81682961607,Delta Outflow,cfs,2008 & 2009 BiOp
1937-05-31,C407,13199.137524533322,Delta Outflow,cfs,2008 & 2009 BiOp
1937-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1937-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1937-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1937-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1937-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1937-11-30,C407,18087.226664013888,Delta Outflow,cfs,2008 & 2009 BiOp
1937-12-31,C407,61255.34133148777,Delta Outflow,cfs,2008 & 2009 BiOp
1938-01-31,C407,22358.67621137215,Delta Outflow,cfs,2008 & 2009 BiOp
1938-02-28,C407,122170.43708656506,Delta Outflow,cfs,2008 & 2009 BiOp
1938-03-31,C407,161329.1748000251,Delta Outflow,cfs,2008 & 2009 BiOp
1938-04-30,C407,77036.66822890371,Delta Outflow,cfs,2008 & 2009 BiOp
1938-05-31,C407,52400.93153632514,Delta Outflow,cfs,2008 & 2009 BiOp
1938-06-30,C407,24879.550377293388,Delta Outflow,cfs,2008 & 2009 BiOp
1938-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1938-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1938-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1938-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1938-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1938-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1939-01-31,C407,2104.3515910470596,Delta Outflow,cfs,2008 & 2009 BiOp
1939-02-28,C407,1039.6010641719931,Delta Outflow,cfs,2008 & 2009 BiOp
1939-03-31,C407,3933.9195081730777,Delta Outflow,cfs,2008 & 2009 BiOp
1939-04-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1939-05-31,C407,4742.147053343577,Delta Outflow,cfs,2008 & 2009 BiOp
